sort_order,namespace,object_id,property_path,value_type,unit,source_sheet,source_cell,required,include_runtime,notes_ru
1,global,root,global.sim.schema_version,string,id,Global Config,D6,1,1,Версия схемы баланса
2,global,root,global.sim.config_version,string,id,Global Config,D7,1,1,Версия набора параметров
3,global,root,global.sim.rng_version,string,id,Global Config,D8,1,1,Версия алгоритма RNG
4,global,root,global.sim.ordering_version,string,id,Global Config,D9,1,1,Версия порядка тика
5,global,root,global.sim.tick_ms,int,ms,Global Config,D10,1,1,Длительность одного тика
6,global,root,battle.time_limit_ticks,int,ticks,Global Config,D11,1,1,Лимит боя
7,global,root,global.sim.fp_scale,int,fp,Global Config,D12,1,1,Масштаб fixed-point
8,global,root,global.sim.probability_min,fp,fp,Global Config,D13,1,1,Минимум вероятности
9,global,root,global.sim.probability_max,fp,fp,Global Config,D14,1,1,Максимум вероятности
10,global,root,global.sim.multiplier_min,fp,fp,Global Config,D15,1,1,Минимальный множитель веса
11,global,root,global.sim.multiplier_max,fp,fp,Global Config,D16,1,1,Максимальный множитель веса
12,global,root,global.sim.decision_weight_max,int,weight,Global Config,D17,1,1,Максимальный итоговый вес
13,global,root,global.arena.min_position,int,position,Global Config,D18,1,1,Левая граница арены
14,global,root,global.arena.max_position,int,position,Global Config,D19,1,1,Правая граница арены
15,global,root,global.arena.start_position_a,int,position,Global Config,D20,1,1,Стартовая позиция A
16,global,root,global.arena.start_position_b,int,position,Global Config,D21,1,1,Стартовая позиция B
17,global,root,global.arena.wall_zone_size,int,position,Global Config,D22,1,1,Ширина зоны стены
18,global,root,global.damage.armor_k,int,rating,Global Config,D23,1,1,Константа нелинейной брони
19,global,root,global.damage.floor,int,hp,Global Config,D24,1,1,Общий нижний clamp урона
20,global,root,global.damage.cap,int,hp,Global Config,D25,1,1,Общий верхний clamp урона
21,global,root,global.damage.block_slope,fp,fp/rating,Global Config,D26,1,1,Наклон Guard против GuardBreak
22,global,root,global.damage.block_min,fp,fp,Global Config,D27,1,1,Минимальный шанс Block
23,global,root,global.damage.block_max,fp,fp,Global Config,D28,1,1,Максимальный шанс Block
24,global,root,global.damage.dodge_slope,fp,fp/rating,Global Config,D29,1,1,Наклон Evasion против Precision
